שנה,"סה""כ עולים",ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגוסט,ספטמבר,אוקטובר,נובמבר,דצמבר,
" סה""כ "," 1,406,641 "," 99,119 "," 82,302 "," 101,410 "," 98,125 "," 112,049 "," 111,965 "," 129,045 "," 136,988 "," 125,603 "," 129,982 "," 131,068 "," 148,985 ",
1989," 24,029 "," 1,128 "," 1,164 "," 1,770 "," 1,166 "," 1,540 "," 1,213 "," 1,796 "," 2,175 "," 2,247 "," 2,819 "," 2,816 "," 4,195 ",
1990," 198,416 "," 6,133 "," 6,517 "," 8,329 "," 12,162 "," 11,598 "," 12,296 "," 16,785 "," 18,916 "," 19,729 "," 22,904 "," 26,548 "," 36,499 ",
1991," 175,278 "," 14,669 "," 8,596 "," 14,703 "," 17,871 "," 31,989 "," 22,377 "," 11,623 "," 10,213 "," 10,885 "," 11,306 "," 9,209 "," 11,837 ",
1992," 76,538 "," 7,343 "," 5,191 "," 6,209 "," 5,557 "," 4,327 "," 4,857 "," 6,669 "," 6,535 "," 7,500 "," 7,533 "," 7,301 "," 7,516 ",
1993," 77,080 "," 6,655 "," 5,254 "," 6,912 "," 5,551 "," 5,695 "," 6,034 "," 5,579 "," 7,788 "," 6,670 "," 6,522 "," 6,786 "," 7,634 ",
1994," 79,947 "," 5,525 "," 5,006 "," 5,690 "," 5,597 "," 5,257 "," 6,487 "," 7,177 "," 8,228 "," 6,707 "," 8,308 "," 8,335 "," 7,630 ",
1995," 76,733 "," 7,016 "," 4,948 "," 6,101 "," 5,424 "," 5,436 "," 5,626 "," 6,088 "," 7,290 "," 7,041 "," 6,793 "," 7,500 "," 7,470 ",
1996," 71,402 "," 6,074 "," 5,033 "," 5,700 "," 5,685 "," 4,991 "," 5,705 "," 6,099 "," 6,291 "," 5,763 "," 7,303 "," 6,086 "," 6,672 ",
1997," 67,175 "," 5,415 "," 4,184 "," 4,553 "," 4,190 "," 3,979 "," 5,173 "," 6,114 "," 5,957 "," 7,682 "," 6,174 "," 6,920 "," 6,834 ",
1998," 57,846 "," 4,716 "," 4,092 "," 4,587 "," 4,514 "," 3,462 "," 4,233 "," 4,599 "," 5,618 "," 5,034 "," 4,785 "," 5,883 "," 6,323 ",
1999," 77,864 "," 4,592 "," 4,294 "," 5,298 "," 4,765 "," 5,220 "," 5,571 "," 7,777 "," 7,765 "," 7,544 "," 8,881 "," 8,685 "," 7,472 ",
2000," 61,365 "," 4,960 "," 4,483 "," 4,648 "," 4,209 "," 4,534 "," 4,841 "," 4,987 "," 5,952 "," 6,068 "," 5,971 "," 5,866 "," 4,846 ",
2001," 44,640 "," 3,758 "," 3,659 "," 3,972 "," 3,122 "," 3,040 "," 3,344 "," 3,650 "," 4,416 "," 4,623 "," 4,158 "," 3,653 "," 3,245 ",
2002," 35,313 "," 2,688 "," 2,427 "," 2,720 "," 2,606 "," 2,594 "," 2,617 "," 3,200 "," 3,784 "," 3,063 "," 3,127 "," 2,844 "," 3,643 ",
2003," 24,899 "," 1,636 "," 1,765 "," 1,524 "," 1,214 "," 1,848 "," 1,836 "," 2,982 "," 2,627 "," 2,549 "," 1,865 "," 2,234 "," 2,819 ",
2004," 22,880 "," 1,420 "," 1,124 "," 1,631 "," 1,187 "," 1,455 "," 2,395 "," 2,616 "," 2,640 "," 2,265 "," 1,846 "," 2,164 "," 2,137 ",
2005," 23,265 "," 1,522 "," 1,328 "," 1,585 "," 1,362 "," 1,437 "," 1,576 "," 2,920 "," 2,869 "," 2,997 "," 1,416 "," 1,972 "," 2,281 ",
2006," 21,336 "," 1,477 "," 1,383 "," 1,558 "," 1,039 "," 1,704 "," 1,700 "," 2,522 "," 2,695 "," 1,970 "," 1,537 "," 2,016 "," 1,735 ",
2007," 20,343 "," 1,439 "," 1,184 "," 1,397 ", 953 ," 1,469 "," 1,361 "," 2,751 "," 2,669 "," 1,547 "," 1,892 "," 1,964 "," 1,717 ",
2008," 16,291 "," 1,567 "," 1,045 "," 1,264 ", 802 ," 1,146 "," 1,021 "," 2,225 "," 2,091 "," 1,532 ", 940 ," 1,125 "," 1,533 ",
2009," 17,194 ", 829 , 872 ," 1,070 ", 987 , 987 ," 1,245 "," 2,232 "," 2,585 "," 1,844 "," 1,556 "," 1,291 "," 1,696 ",
2010," 19,291 "," 1,330 "," 1,302 "," 1,451 "," 1,071 ", 912 ," 1,481 "," 2,321 "," 2,253 "," 1,666 "," 1,769 "," 1,437 "," 2,298 ",
2011," 19,380 "," 1,406 "," 1,300 "," 1,544 "," 1,102 "," 1,156 "," 1,482 "," 2,624 "," 2,376 "," 1,682 "," 1,631 "," 1,286 "," 1,791 ",
2012," 18,944 "," 1,184 "," 1,108 "," 1,338 "," 1,101 "," 1,375 "," 1,284 "," 2,456 "," 2,751 "," 1,344 "," 1,756 "," 1,588 "," 1,659 ",
2013," 20,138 "," 1,471 "," 1,354 "," 1,142 "," 1,256 "," 1,116 "," 1,512 "," 2,843 "," 2,980 "," 1,213 "," 1,974 "," 1,426 "," 1,851 ",
2014," 27,607 "," 1,395 "," 1,502 "," 1,831 "," 1,637 "," 2,037 "," 2,077 "," 3,783 "," 3,392 "," 2,409 "," 2,584 "," 1,956 "," 3,004 ",
2015," 31,447 "," 1,771 "," 2,187 "," 2,883 "," 1,995 "," 1,745 "," 2,621 "," 4,627 "," 4,132 "," 2,029 "," 2,632 "," 2,177 "," 2,648 ",
